"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","Error","PctError","AbsPctError"
"06","113","050","Yolo County",216403,220010,3607,1.66679759522742,1.66679759522742
"06","115","050","Yuba County",81575,79800,-1775,-2.17591173766473,2.17591173766473
"08","001","050","Adams County",519572,519385,-187,-0.0359911619563795,0.0359911619563795
"08","003","050","Alamosa County",16376,16226,-150,-0.915974596971177,0.915974596971177
"08","005","050","Arapahoe County",655070,657478,2408,0.367594302898927,0.367594302898927
"08","007","050","Archuleta County",13359,14188,829,6.20555430795718,6.20555430795718
"08","009","050","Baca County",3506,3583,77,2.19623502567028,2.19623502567028
"08","011","050","Bent County",5650,5421,-229,-4.05309734513274,4.05309734513274
"08","013","050","Boulder County",330758,327069,-3689,-1.11531693866815,1.11531693866815
"08","014","050","Broomfield County",74112,71878,-2234,-3.01435664939551,3.01435664939551
"08","015","050","Chaffee County",19476,20622,1146,5.8841651263093,5.8841651263093
"08","017","050","Cheyenne County",1748,1802,54,3.08924485125858,3.08924485125858
"08","019","050","Clear Creek County",9397,9596,199,2.11769713738427,2.11769713738427
"08","021","050","Conejos County",7461,8165,704,9.43573247553947,9.43573247553947
"08","023","050","Costilla County",3499,3935,436,12.4607030580166,12.4607030580166
"08","025","050","Crowley County",5922,5775,-147,-2.4822695035461,2.4822695035461
"08","027","050","Custer County",4704,5176,472,10.0340136054422,10.0340136054422
"08","029","050","Delta County",31196,31103,-93,-0.298115142967047,0.298115142967047
"08","031","050","Denver County",715522,733428,17906,2.50250865801471,2.50250865801471
"08","033","050","Dolores County",2326,2088,-238,-10.2321582115219,10.2321582115219
"08","035","050","Douglas County",357978,358691,713,0.199174250931621,0.199174250931621
"08","037","050","Eagle County",55731,55036,-695,-1.24706177890223,1.24706177890223
"08","039","050","Elbert County",26062,27187,1125,4.31662957562735,4.31662957562735
"08","041","050","El Paso County",730395,727064,-3331,-0.45605460059283,0.45605460059283
"08","043","050","Fremont County",48939,47921,-1018,-2.08014058317497,2.08014058317497
"08","045","050","Garfield County",61685,60329,-1356,-2.19826538056254,2.19826538056254
"08","047","050","Gilpin County",5808,6244,436,7.5068870523416,7.5068870523416
"08","049","050","Grand County",15717,15804,87,0.553540752051918,0.553540752051918
"08","051","050","Gunnison County",16918,17567,649,3.83615084525358,3.83615084525358
"08","053","050","Hinsdale County",788,801,13,1.6497461928934,1.6497461928934
"08","055","050","Huerfano County",6820,6899,79,1.158357771261,1.158357771261
"08","057","050","Jackson County",1379,1390,11,0.797679477882524,0.797679477882524
"08","059","050","Jefferson County",582910,583411,501,0.0859480880410355,0.0859480880410355
"08","061","050","Kiowa County",1446,1445,-1,-0.0691562932226833,0.0691562932226833
